cycle,rOM,dOM,sOM
0,1560.0,0.0,0.0
1,1522.3000000000004,0.14500000000000005,29.0
2,1446.9000000000003,27.69499999999998,64.66999999999996
3,1371.5,50.89500000000001,104.69
4,1296.0999999999997,74.09500000000003,144.70999999999998
5,1220.6999999999998,97.295,184.73000000000008
6,1149.2000000000003,116.59500000000003,224.75
7,1075.1000000000004,136.845,266.0349999999999
8,1004.9,156.59499999999997,305.1849999999999
9,954.2,154.455,344.4499999999997
10,887.9000000000001,167.05500000000004,384.28999999999996
11,820.3000000000001,186.45499999999996,422.6299999999999
12,754.0,210.85499999999996,452.21999999999997
13,698.0999999999999,229.25999999999993,480.3400000000002
14,630.4999999999999,256.85999999999996,510.16999999999996
15,570.7,267.615,542.7800000000002
16,507.0,283.715,573.68
17,470.59999999999997,277.3399999999999,607.3299999999999
18,416.0000000000001,279.0399999999999,640.7949999999997
19,351.0000000000001,294.9399999999999,671.455
20,300.2999999999999,299.38999999999993,701.9650000000003
21,270.4,288.4949999999999,731.7899999999997
22,232.7,275.94499999999994,761.4949999999999
23,198.9,275.09499999999986,779.0149999999998
24,174.20000000000002,270.2449999999999,795.8449999999999
25,133.9,270.2999999999999,814.88
26,91.0,277.5999999999999,830.5099999999999
27,76.7,258.49999999999994,846.4399999999999
28,66.3,233.9999999999999,859.8850000000002
29,49.4,220.04999999999987,868.9450000000003
30,39.0,207.6499999999999,877.7050000000002
31,39.0,179.75499999999988,884.0650000000004
32,39.0,158.1049999999999,884.9349999999998
33,39.0,139.70999999999987,882.805
34,39.0,121.70999999999988,880.2250000000005
35,39.0,105.45999999999987,875.9949999999998
36,39.0,89.95999999999988,871.015
37,39.0,77.35999999999999,863.2949999999996
38,39.0,64.75999999999998,855.7349999999999
39,39.0,53.91000000000007,846.5250000000001
40,39.0,44.81000000000002,836.0749999999998
41,39.0,37.610000000000014,823.5350000000001
42,39.0,30.40999999999997,810.9950000000001
43,39.0,23.21,798.4549999999998
44,39.0,16.010000000000005,786.1350000000003
45,39.0,10.365000000000009,772.9350000000003
46,39.0,5.619999999999998,758.8349999999998
47,39.0,2.9749999999999983,742.755
48,39.0,1.1749999999999983,728.175
49,39.0,0.22499999999999978,712.845
50,39.0,0.22499999999999978,696.4649999999999
51,39.0,0.22499999999999978,680.0849999999998
52,39.0,0.22499999999999978,663.7050000000002
53,39.0,0.22499999999999978,647.5849999999999
54,39.0,0.22499999999999978,631.7650000000001
55,39.0,0.22499999999999978,616.2250000000003
56,39.0,0.22499999999999978,600.6849999999998
57,39.0,0.22499999999999978,585.4649999999999
58,39.0,0.22499999999999978,570.345
59,39.0,0.22499999999999978,555.2449999999999
60,39.0,0.22499999999999978,540.545
0,480.0,0.0,0.0
1,474.79999999999995,0.01999999999999999,4.0
2,464.40000000000003,3.82,8.92
3,454.0,7.02,14.44
4,443.59999999999997,10.22,19.96
5,433.20000000000005,13.42,25.48
6,422.79999999999995,16.62,31.0
7,412.40000000000003,19.82,36.52
8,402.0,23.02,42.04
9,391.6,26.22,47.56
10,381.20000000000005,29.42,53.08
11,370.79999999999995,32.62,58.6
12,360.4,35.82,64.12
13,350.0,39.02,69.64
14,339.6,42.22,75.16
15,329.20000000000005,45.42,80.68
16,324.0,43.42,86.2
17,318.79999999999995,36.24,95.72
18,308.4,32.839999999999996,106.16000000000001
19,298.0,28.839999999999993,117.2
20,287.6,24.84,128.24
21,277.20000000000005,20.84,139.28
22,266.79999999999995,16.84,150.32
23,256.4,19.840000000000003,154.76
24,246.0,23.039999999999996,158.6
25,235.60000000000002,26.24,162.44
26,225.20000000000005,29.44,166.28
27,214.79999999999995,32.64,170.12
28,204.39999999999998,35.84,173.96
29,194.0,39.040000000000006,177.79999999999998
30,183.60000000000002,42.239999999999995,181.64
31,173.20000000000002,45.44,185.48000000000002
32,168.0,43.44,189.32000000000002
33,164.10000000000002,36.255,196.16000000000003
34,156.3,31.904999999999998,203.68999999999997
35,148.5,27.105,211.67000000000002
36,138.1,24.905,219.64999999999998
37,127.7,22.705000000000002,227.62999999999997
38,117.3,20.505,235.60999999999996
39,106.9,25.304999999999993,236.99
40,96.5,30.304999999999993,237.76999999999998
41,90.0,30.109999999999992,239.55
42,79.6,33.459999999999994,241.56000000000003
43,69.2,36.66,243.72
44,60.1,41.31000000000002,244.53000000000003
45,54.9,39.61,246.03999999999996
46,44.5,42.81000000000002,247.78000000000003
47,34.1,46.01000000000002,249.51999999999998
48,25.0,47.91000000000001,251.26000000000002
49,17.2,48.51000000000001,253.0
50,12.0,49.56000000000002,254.29
51,12.0,44.16000000000001,254.23000000000005
52,12.0,38.76000000000002,254.16999999999996
53,12.0,33.35999999999999,254.11000000000004
54,12.0,27.959999999999994,254.04999999999995
55,12.0,24.309999999999995,252.34000000000003
56,12.0,20.709999999999994,250.48000000000002
57,12.0,18.55999999999999,247.27
58,12.0,16.75999999999999,243.60999999999996
59,12.0,14.960000000000008,239.95
60,12.0,13.160000000000007,236.29000000000005
0,80.0,0.0,0.0
1,78.7,0.005,1.0
2,76.1,0.955,2.23
3,73.5,1.755,3.61
4,70.9,2.555,4.99
5,68.3,3.355,6.37
6,65.7,4.155,7.75
7,63.1,4.955,9.13
8,60.5,5.755,10.51
9,57.9,6.555,11.89
10,55.3,7.355,13.27
11,52.7,8.155,14.65
12,50.1,8.955,16.03
13,47.5,9.755,17.41
14,44.9,10.555,18.79
15,42.3,11.355,20.17
16,41.0,10.855,21.55
17,39.7,9.06,23.93
18,37.1,8.209999999999999,26.54
19,34.5,7.21,29.3
20,31.9,6.21,32.06
21,29.3,5.21,34.82
22,26.7,4.21,37.58
23,24.1,4.96,38.69
24,21.5,5.76,39.65
25,18.9,6.56,40.61
26,16.3,7.36,41.57
27,13.7,8.16,42.53
28,11.1,8.96,43.49
29,8.5,9.760000000000002,44.45
30,5.9,10.56,45.41
31,3.3,11.360000000000001,46.370000000000005
32,2.0,10.860000000000001,47.33
33,2.0,9.06,48.29
34,2.0,7.26,49.25
35,2.0,5.46,50.21
36,2.0,3.6599999999999997,51.17
37,2.0,1.8599999999999999,52.129999999999995
38,2.0,0.06,53.09
39,2.0,0.00999999999999999,52.4
